gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysAnxious,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Female,120k - 150k,155 - 160,Yes,They are separate,Always,"Yes, I have both",At least once a month,Never,No,-1,-2,1,-2,-2,0,0,-1,-2,1,0,-1,0,0,-1,-1,-2,2,0,-2,0,-2,0,0,-1,2,0,-1,2,0,1,-2,-2.19436
Male,50k - 80k,170 - 175,Yes,They are separate,Rarely,"Yes, I have family",Rarely,Always,Yes,-1,-1,2,2,1,0,-2,-1,1,2,2,2,0,1,1,-2,1,2,1,-1,1,-2,1,2,1,-1,2,2,-2,1,1,0,17.6299
Female,15k - 20k,140 - 150,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Sometimes,Yes,-1,-2,1,-1,0,-2,0,-2,1,0,-2,1,-1,0,0,0,0,1,1,-2,0,-1,1,0,1,-1,0,0,-1,0,1,-1,2.58327
Male,0 - 10k,180 - 185,Yes,They complement each other,Always,No,At least once a week,Never,Yes,-2,0,0,-1,0,1,-1,-1,1,0,-1,0,1,0,0,-1,-2,1,0,-2,0,-1,2,1,-2,0,1,1,-1,0,-2,-2,-13.2451
Male,120k - 150k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",More than three times a week,Never,Yes,-2,0,1,1,1,0,0,-2,1,1,1,0,0,0,2,-1,0,1,0,0,2,-1,1,2,1,-1,2,1,-1,2,0,-1,0.831834
Male,0 - 10k,165 - 170,Yes,They complement each other,Never,No,No,Never,No,0,1,1,-1,-1,-1,1,0,-2,-2,-1,-2,2,-2,0,1,-1,0,0,2,-1,-2,0,1,2,0,-1,-2,1,-1,1,0,-22.853
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,-1,-1,1,0,0,0,-1,-1,2,2,-1,1,-1,2,1,-2,2,2,0,-1,0,-1,1,0,1,-2,2,1,-2,2,1,-1,-7.13788
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Never,Yes,-2,1,1,1,0,0,1,0,0,1,0,2,0,0,2,1,-2,1,2,0,2,-1,2,2,1,1,0,1,-2,-2,0,-2,-9.47157
Male,10k - 15k,170 - 175,Yes,They are separate,Rarely,"Yes, I have family",At least once a month,Rarely,Yes,-1,-1,1,-2,0,1,-2,-1,1,1,-1,-1,-1,1,1,-1,1,2,1,-1,1,-1,2,1,1,-1,2,0,-1,2,1,-2,5.17219
Male,0 - 10k,175 - 180,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Never,No,1,2,0,0,0,1,1,-2,0,0,-2,-2,1,1,-2,0,-2,1,0,-2,-2,-1,0,0,0,1,-1,0,-2,-2,-2,0,-19.1719
Female,50k - 80k,140 - 150,Yes,They complement each other,Rarely,No,At least once a month,Sometimes,Yes,-2,0,1,1,0,1,1,-2,2,1,0,-1,-1,1,0,-1,0,1,-1,-1,1,-1,2,2,0,0,1,2,0,1,0,1,11.5231
Male,10k - 15k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Never,Yes,-1,0,1,0,0,-2,0,-1,0,1,-2,1,-1,0,1,-1,0,2,0,-2,0,-1,2,0,-2,-2,0,1,-1,1,0,0,-1.68356
Male,20k - 50k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Rarely,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,4.11066
Male,120k - 150k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Never,Yes,-2,-1,2,1,-2,2,-1,-2,1,2,-1,-2,-1,2,0,-1,1,1,1,-1,1,-1,1,1,1,-2,2,2,-1,1,2,-1,11.211
Female,10k - 15k,175 - 180,Yes,They are separate,Always,"Yes, I have family",More than three times a week,Sometimes,No,0,1,1,1,-2,2,1,0,1,1,0,-1,1,0,-1,-2,1,2,0,-2,-2,1,0,-2,0,0,0,0,1,1,0,-1,-1.98957
Female,0 - 10k,165 - 170,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Always,Yes,-2,-2,1,1,0,0,-1,-2,1,2,-1,1,0,1,1,0,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,2,1,-1,-3.988
Male,80k - 120k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have friends",Rarely,Never,Yes,1,1,1,-1,0,-1,1,0,-1,1,0,0,0,-1,1,1,-2,1,-2,1,-1,0,-1,0,0,1,0,0,0,-1,-2,1,14.143
Male,80k - 120k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,1,0,1,1,-2,-2,2,0,0,1,-2,1,-1,2,1,-2,0,1,2,0,0,-2,2,0,2,-2,0,0,1,1,1,-1,25.3888
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,0,-1,2,0,0,-1,-2,-1,0,1,-1,0,-1,0,2,-2,0,1,0,0,1,-1,2,2,1,0,0,1,-1,0,0,-2,-4.88771
Male,150k - 200k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",No,Always,Yes,1,-2,1,-2,-2,0,0,-2,-2,0,-2,1,-2,-2,2,1,-2,1,0,1,-1,-2,-2,0,1,0,-2,0,1,0,0,2,-0.652865
Male,200k above,180 - 185,Yes,They are separate,Rarely,"Yes, I have family",Rarely,Always,Yes,-1,-1,2,2,-2,-2,-1,-1,1,0,-1,-2,0,-2,0,-2,1,1,0,0,-2,1,1,2,-2,-1,1,0,-2,1,-2,0,11.7857
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,1,1,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-10.801
Male,50k - 80k,150 - 155,Yes,They conflict,Always,"Yes, I have both",More than three times a week,Rarely,Yes,-1,-1,0,2,-1,2,-1,-1,0,0,-2,-2,0,0,0,-1,1,1,-2,-1,-1,-2,1,1,0,-1,2,0,1,2,0,0,38.3547
Female,0 - 10k,150 - 155,Yes,They are separate,Sometimes,No,At least once a month,Sometimes,Yes,-2,-1,1,-1,0,0,1,-1,0,-2,-2,1,0,-2,0,-1,0,0,0,0,0,-1,1,-2,-2,-2,1,2,-1,2,1,1,-13.5377
Female,150k - 200k,150 - 155,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Rarely,Yes,0,-2,-2,-2,1,0,0,-2,0,-2,0,0,-1,0,0,-2,1,2,1,-1,1,0,2,0,1,-2,2,-1,-2,1,2,-2,-6.09726
Male,15k - 20k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Always,No,0,-1,-2,1,-1,-1,0,-1,1,-1,-2,0,0,-1,0,-2,0,0,-1,-1,-1,-1,-2,0,1,-1,1,-1,1,-1,1,-1,-2.77787
Male,15k - 20k,180 - 185,Yes,They are separate,Rarely,"Yes, I have both",At least once a month,Always,Yes,-1,0,0,0,1,0,0,-1,1,0,-1,-1,0,0,2,-1,0,1,1,0,1,-2,2,0,0,1,1,0,1,1,0,0,4.33998
Male,15k - 20k,155 - 160,Yes,They are separate,Never,"Yes, I have friends",At least once a week,Rarely,Yes,-2,-2,0,1,1,-2,0,-2,2,0,-1,1,1,0,-1,2,0,0,-2,0,-2,2,0,1,1,2,-1,-2,2,0,-2,2,-4.48751
Male,200k above,185 - 190,Yes,They complement each other,Rarely,"Yes, I have both",No,Sometimes,No,0,-2,2,0,-1,0,-2,-2,0,1,0,0,-2,0,0,1,0,1,1,0,1,-2,1,1,0,-2,0,0,0,2,1,0,25.6521
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,-2,-1,1,0,0,1,0,-1,0,0,1,0,0,1,1,-1,0,2,1,-2,1,0,1,0,2,-2,1,1,-2,2,0,0,-0.25718
Male,0 - 10k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Sometimes,Yes,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-9.7277
Female,0 - 10k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,No,-1,-1,1,0,0,1,1,-1,1,1,-2,-1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,-4.56061
Male,50k - 80k,170 - 175,Yes,They conflict,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,1,1,1,1,1,-2,0,1,0,0,0,1,2,2,-2,2,-2,2,0,1,-2,0,0,0,1,2,-2,1,0,0,-2,0,9.50304
Female,0 - 10k,165 - 170,Yes,They conflict,Sometimes,"Yes, I have both",Rarely,Never,Yes,0,0,2,-2,0,0,-1,1,0,1,1,0,1,1,1,0,0,1,-1,1,-2,-2,0,0,-2,2,0,2,2,-2,1,1,-10.2819
Female,15k - 20k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have family",More than three times a week,Never,Yes,0,0,0,-2,0,-2,0,-2,0,0,-1,1,-1,0,-2,-2,-2,-1,0,-2,0,-1,0,-2,-2,0,0,1,0,0,0,0,17.3865
Female,10k - 15k,155 - 160,Yes,They are separate,Rarely,"Yes, I have both",More than three times a week,Sometimes,No,0,1,0,1,-2,-1,1,0,-2,-2,-2,0,2,0,1,-2,0,0,0,1,1,1,0,0,0,1,-2,0,2,0,1,0,-16.122
Female,15k - 20k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Sometimes,Yes,-1,-2,2,1,-2,0,0,-1,1,0,-1,0,-2,-2,1,0,0,1,0,0,0,0,2,0,0,1,0,2,2,1,0,2,2.48865
Male,80k - 120k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Rarely,Yes,0,0,1,-1,1,-1,1,-1,-1,-1,-2,1,-1,1,-1,1,-1,0,0,0,0,0,1,-1,0,1,-1,-1,0,0,0,0,35.5651
Female,50k - 80k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Sometimes,No,-1,-1,1,-1,1,0,0,0,1,1,0,1,1,0,-1,-1,0,1,0,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,15.5228
Male,200k above,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a month,Always,Yes,2,2,1,-2,0,-1,-2,0,-1,1,0,1,-2,-2,2,2,-2,0,-1,0,-2,-1,-2,0,1,2,1,-1,-2,-2,0,1,2.57668
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Always,Yes,-1,-1,1,0,0,1,-1,-1,1,-2,0,-1,0,0,0,-1,1,1,-2,-1,-2,0,1,0,-2,-2,0,-2,-2,1,-2,-1,-6.86242
Male,15k - 20k,165 - 170,Yes,They complement each other,Never,No,At least once a week,Sometimes,Yes,0,0,1,1,1,0,0,0,2,1,-2,0,-2,0,0,-2,1,2,1,-1,1,-2,1,0,1,-1,1,1,-2,2,1,0,5.57524
Female,10k - 15k,170 - 175,Yes,They are separate,Always,"Yes, I have family",At least once a week,Rarely,Yes,-2,0,1,2,-2,2,-2,-2,1,1,0,-2,1,1,0,-2,2,2,2,-2,-2,0,-2,2,1,1,0,0,0,1,0,0,-6.33633
Female,150k - 200k,140 - 150,Yes,They complement each other,Never,"Yes, I have family",No,Rarely,Yes,-1,-1,0,-2,-2,1,-2,-1,1,0,-2,1,0,0,0,-1,-2,2,0,-2,0,-1,1,1,-2,-1,2,0,-1,2,0,0,2.96799
Male,20k - 50k,185 - 190,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-2,-2,2,1,2,2,1,-2,2,0,0,1,-2,2,1,0,1,1,2,-2,1,-2,2,2,0,0,2,1,-1,2,0,0,22.728
Female,15k - 20k,165 - 170,Yes,They are separate,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,0,0,0,0,0,0,0,0,2,1,0,-1,1,0,0,-2,0,0,-2,-2,1,-2,1,1,0,-2,1,-1,-2,1,0,0,-1.81505
Female,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have family",No,Never,Yes,0,2,0,-2,0,-1,1,1,-2,1,-2,1,1,-1,0,0,-2,0,0,2,-2,0,0,0,1,0,-1,1,0,-1,0,-2,-22.427
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,0,1,0,0,0,0,-2,-2,2,1,-2,0,2,0,1,0,0,1,0,0,-2,-2,1,0,0,0,0,-2,-2,1,-2,0,-30.3823
Male,10k - 15k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Always,Yes,-2,1,2,0,-2,0,-2,-2,1,1,-1,0,-2,1,1,-1,0,2,0,0,0,-1,1,2,1,-1,2,1,-2,2,1,-1,-4.42305
Female,200k above,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-2,-1,1,-2,-1,-2,-1,-1,0,-2,-2,-1,-2,1,1,0,1,2,1,-1,2,-2,1,2,0,1,1,1,-1,1,1,-1,13.2236
Female,120k - 150k,175 - 180,Yes,They conflict,Rarely,"Yes, I have both",At least once a week,Always,Yes,-1,-1,0,2,1,2,-1,-1,2,2,0,-2,0,1,0,-1,2,2,1,-2,2,-1,1,2,2,0,2,1,1,1,1,-2,5.77973
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Never,Yes,0,-2,1,1,0,0,1,-1,0,1,1,1,1,0,1,-1,-1,1,1,-2,2,-1,1,2,0,-2,2,0,-2,2,0,1,-10.3603
Male,20k - 50k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have friends",At least once a week,Never,Yes,-2,-1,1,-1,-2,-2,0,-1,-2,0,-2,0,-1,2,0,2,-2,1,0,1,0,-1,-2,0,2,-2,0,-2,-1,0,0,0,16.5301
Male,20k - 50k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,-1,-1,2,1,0,-1,-1,-1,1,1,-1,0,1,0,1,0,0,1,0,0,1,-1,0,1,1,0,1,1,-1,1,0,-1,6.68191
Male,80k - 120k,160 - 165,Yes,They are separate,Never,No,At least once a month,Rarely,No,0,-1,0,2,0,2,1,0,0,1,-1,1,-2,2,1,0,0,0,0,-2,0,-2,0,-2,0,0,0,0,0,0,2,0,23.6489
Male,0 - 10k,180 - 185,Yes,They conflict,Rarely,"Yes, I have family",More than three times a week,Sometimes,Yes,-1,-1,-2,-2,-1,2,0,-1,1,-2,0,0,-1,0,0,-1,-2,2,0,-2,-2,-2,1,-2,-2,1,2,-2,-2,1,1,1,2.45963
Female,10k - 15k,160 - 165,Yes,They conflict,Rarely,No,At least once a month,Rarely,Yes,-1,-1,1,1,-1,0,0,-1,0,0,0,1,0,1,1,1,0,0,0,-1,0,-1,0,1,0,-1,0,0,-1,1,0,0,-3.79906
Male,0 - 10k,170 - 175,No,They conflict,Sometimes,"Yes, I have both",Rarely,Always,Yes,-1,-1,1,2,-1,0,-1,-1,1,1,-2,0,1,-2,0,1,0,1,0,0,-1,1,2,2,-2,0,-1,0,1,0,-1,2,-2.3846
Female,200k above,155 - 160,Yes,They conflict,Never,"Yes, I have both",At least once a week,Sometimes,Yes,1,2,1,-2,0,1,0,0,1,2,0,0,-2,2,2,1,-2,-1,2,1,2,-1,2,1,2,0,-2,0,1,-2,1,-2,-5.48916
Female,20k - 50k,165 - 170,Yes,They complement each other,Sometimes,No,No,Never,Yes,0,-2,2,2,0,1,0,0,1,-2,0,-2,0,-2,1,-2,0,1,-2,-2,0,-2,0,1,-2,0,1,1,-2,1,0,0,18.0714
Male,10k - 15k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,-2,-2,2,1,2,2,-1,0,2,1,0,-2,-1,1,0,-2,1,2,2,-1,2,-1,2,1,-2,-1,0,1,-1,1,1,0,11.561
Female,0 - 10k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,0,1,1,-2,2,1,-2,1,1,2,1,1,-1,1,0,-1,0,1,-2,0,0,0,2,-2,0,0,0,0,-2,0,0,-2,-10.3428
Male,0 - 10k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Always,Yes,-1,0,0,0,0,1,-1,-1,0,1,0,1,0,0,1,0,0,0,0,-1,0,-1,0,1,1,1,1,1,0,0,2,0,-5.21521
Male,80k - 120k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,1,0,-2,1,1,-2,-1,-2,0,-2,-2,-2,-2,2,0,-2,1,0,1,-1,-2,-1,0,-2,0,-1,0,-2,0,1,2,0,32.5949
Male,150k - 200k,175 - 180,Yes,They are separate,Always,"Yes, I have family",More than three times a week,Never,Yes,1,1,2,-2,-2,-2,0,0,-1,1,0,1,-2,0,0,0,0,0,-2,2,-1,0,-2,1,-2,-2,-2,-2,-2,1,1,0,3.01425
Female,0 - 10k,150 - 155,Yes,They complement each other,Sometimes,No,More than three times a week,Never,No,0,1,2,-2,0,-2,0,-1,0,1,0,0,-1,0,2,0,1,0,1,-1,0,-1,1,-2,0,0,-2,1,-2,1,1,1,-10.2033
Female,0 - 10k,140 - 150,Yes,They conflict,Sometimes,No,No,Rarely,No,-2,-2,2,-1,-2,0,0,-2,-2,2,1,-1,0,2,1,-1,0,0,1,2,0,-1,1,1,0,2,0,0,0,0,2,2,-6.06467
Male,20k - 50k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",Rarely,Always,Yes,-1,-1,2,1,2,1,-1,-2,1,2,-2,1,1,1,1,-2,-1,1,1,2,1,2,-2,2,1,-1,1,1,-2,1,0,-1,7.52916
Female,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,1,-2,0,-2,-1,0,-2,0,-2,-2,-2,0,1,1,1,0,-1,1,0,0,-2,-1,-1,0,0,1,1,0,1,0,1,1,-18.9383
Female,0 - 10k,155 - 160,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,0,2,1,1,0,1,0,1,2,0,-1,1,-1,0,1,-1,1,1,0,-2,0,-2,2,1,0,1,-2,1,0,1,0,0,-18.8835
Male,80k - 120k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",No,Always,Yes,-1,-1,2,2,1,2,-1,-1,2,1,1,-2,0,1,2,-1,2,1,1,-2,0,-1,1,2,1,-2,2,2,1,2,1,0,39.8761
